,workloada_trace_btrfs.csv,workloadf_trace_btrfs.csv,workloada_trace_f2fs.csv,workloada_trace_ext4.csv,workloadf_trace_f2fs.csv,workloadf_trace_ext4.csv,workloadb_trace_ext4.csv,workloadb_trace_f2fs.csv,workloadb_trace_btrfs.csv
3,,,,191.9359774037896,,,123.3502538071066,,
4,,,,94.62869247969871,,298.07440564165364,48.90016920473773,286.9117647058824,285.55986130940244
5,,393.24033519835945,391.7959548371375,62.186654113216434,397.2262773722628,148.79650352603352,27.185561195713483,141.91176470588235,140.9749133183765
6,490.45079492855706,195.95179624800627,195.08569571927546,45.971519359774035,198.33576642335765,99.04564841011782,,93.45588235294117,92.86151335916786
7,244.43550010062384,130.19063773766425,129.5047789239975,36.2433800164764,132.04512276045122,74.1649423588531,,69.33823529411765,68.75382418927187
8,162.42704769571344,97.311324337325,96.72379714618363,29.75873837825115,98.90112806901128,59.233140492377856,,55.00000000000001,54.35447685090761
9,121.4228214932582,77.5665206714094,77.06116481195679,25.13357655643168,79.0205706702057,49.284236307588365,14.467005076142131,45.25735294117647,44.64613501937589
10,96.82028577178507,64.43454264664929,63.94552297403406,21.6429327998117,65.75978765759788,42.181495713863434,,38.23529411764706,37.87477054864369
11,80.41859529080297,55.034304665940915,54.57720737551783,18.94551018006355,56.291970802919714,36.843883281955996,,33.05147058823529,32.5922904344279
12,68.7059770577581,47.983493252993746,47.542847859637725,16.794162645639638,49.19177173191772,32.71399011866053,,29.264705882352942,28.737507648378546
13,59.91648218957537,42.50993696042938,42.0978528687082,15.021772390255384,43.64698075646981,29.390650732654873,10.349689791314157,26.176470588235297,25.413012441362433
14,53.08244448916616,38.1250158231854,37.71423929818861,13.555372484406261,39.23822163238221,26.662725391664203,,23.52941176470588,22.781970222312868
15,47.6152143288388,34.547710068609334,34.148322638290956,12.310227138990232,35.60716655607167,24.403530256323634,,21.323529411764707,20.53844584947991
16,43.15422284832629,31.567887794627715,31.178079224541737,11.248676003295282,32.62906436629064,22.494827076559268,,19.411764705882355,18.784417703446866
17,39.414369088347755,29.031114711764854,28.651883139739525,10.318936095092386,30.043795620437958,20.85427135678392,8.347433728144388,17.5,17.193554966347136
18,36.26484202052727,26.869034659105296,26.47226057996913,9.478639519830528,27.89913735899137,19.450192137156368,,16.470588235294116,16.010605751580663
19,33.574830616488896,24.970252411453455,24.598597460265886,8.763092856302224,25.977438619774386,18.183353743507453,,15.257352941176471,14.705282480114215
20,31.21352384785671,23.34489480746348,22.97944927300788,8.132281981875957,24.326476443264763,17.09809551961488,,13.970588235294118,13.399959208647767
21,29.18092171463071,21.90941542823869,21.50921939728698,7.557961633517713,22.85069674850697,16.12474135382796,7.1912013536379025,13.492647058823529,12.645319192331225
22,27.362983833098543,20.585331274209473,20.26642839736821,7.087207249617513,21.576642335766426,15.244288670241964,,12.426470588235293,11.727513767081378
23,25.74629368752935,19.42833995797362,19.06966669374272,6.595268918441803,20.387524883875248,14.460960263502386,,11.617647058823529,11.17683051193147
24,24.330851277923124,18.423251221549915,18.07326780927626,6.202189007885136,19.378898473788986,13.762087749672732,,11.176470588235295,10.626147256781563
